Date:,15/06/2017,
coordinates:,"45.070312, 7.6868565",
location:,"Piazza Castello, 15, 10124 Torino, Italy",
hour,Elevation,Azimuth
04:41:37,-833,54.9
5:00:00,1.87,58.13
5:15:00,4.15,60.72
5:30:00,6.49,63.26
5:45:00,8.88,65.76
6:00:00,11.32,68.23
6:15:00,13.8,70.68
6:30:00,16.31,73.11
6:45:00,18.86,75.54
7:00:00,21.44,77.97
7:15:00,24.04,80.42
7:30:00,26.66,82.89
7:45:00,29.3,85.4
8:00:00,31.94,87.96
8:15:00,34.59,90.6
8:30:00,37.23,93.32
8:45:00,39.87,96.14
9:00:00,42.5,99.11
9:15:00,45.1,102.23
9:30:00,47.67,105.55
9:45:00,50.2,109.11
10:00:00,52.67,112.96
10:15:00,55.07,117.15
10:30:00,57.38,121.75
10:45:00,59.56,126.84
11:00:00,61.6,132.49
11:15:00,63.46,138.79
11:30:00,65.08,145.79
11:45:00,66.42,153.52
12:00:00,67.42,161.93
12:15:00,68.05,170.87
12:30:00,68.26,180.11
12:45:00,68.04,189.35
13:00:00,67.4,198.29
13:15:00,66.39,206.68
13:30:00,65.04,214.4
13:45:00,63.42,221.38
14:00:00,61.56,227.66
14:15:00,59.52,233.3
14:30:00,57.33,238.38
14:45:00,55.02,242.97
15:00:00,52.62,247.15
15:15:00,50.14,250.99
15:30:00,47.61,254.54
15:45:00,45.04,257.86
16:00:00,42.44,260.98
16:15:00,39.82,263.94
16:30:00,37.18,266.77
16:45:00,34.53,269.48
17:00:00,31.88,272.11
17:15:00,29.24,274.68
17:30:00,26.61,277.19
17:45:00,23.99,279.66
18:00:00,21.39,282.11
18:15:00,18.81,284.54
18:30:00,16.26,286.97
18:45:00,13.75,289.4
19:00:00,11.27,291.85
19:15:00,8.84,294.32
19:30:00,6.45,296.82
19:45:00,4.11,299.36
20:00:00,1.83,301.95
20:18:08,-833,305.14
